product_id	product_name	category	replacement_priority	current_problem	visual_concept	image_generation_prompt	negative_prompt	recommended_crop
29	제로 알룰로스 단백질 젤리 청포도맛 50g	프로틴바·건강간식	P2	청포도 단백질 젤리가 아니라 다색 곰돌이 구미로 보여 맛과 상품 유형이 불일치	반투명 청포도 젤리와 청포도 한 송이	Translucent pale-green grape protein jelly pieces in a small clear glass bowl, smooth chewy surfaces and a few cut pieces revealing texture, three fresh green grapes and a muted-green linen accent, refined adult wellness snack styling. Premium commercial food photography, bright diffused natural light, ivory and warm beige background, centered square crop-safe composition.	rainbow gummy bears, multicolor candy, children's candy styling, neon green, oversaturated, dark, factory, bulk candy bin, text, logo, watermark, fake Korean package copy, people, hands, medical scene, clutter, cropped bowl, blur, low resolution, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
31	무가당 고단백 수제 그래놀라 오리지널 400g	시리얼·그래놀라	P2	동일 그래놀라 사진이 7개 상품에 반복되어 개별 상품 구분이 불가능함	오리지널 귀리 클러스터와 아몬드·호박씨	Chunky unsweetened high-protein oat granola clusters in a wide matte ivory ceramic bowl, visible toasted almonds, pumpkin seeds and pale protein crisps, a neutral beige linen and a small wooden spoon beside the bowl, classic original flavor with no colorful fruit. Premium wellness cereal commercial photography, soft bright natural window light, warm beige set, fresh crisp texture, centered overhead three-quarter square composition.	cacao nibs, berries, cinnamon sticks, black sesame, black soybeans, konjac flakes, large soy balls, sweet-potato cubes, green apple, chia seeds, dark image, oversaturation, bulk bin, metal scoop, factory, text, logo, watermark, people, hands, clutter, cropped bowl, blur, low resolution, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
32	카카오 닙스 고단백 롤드오트 그래놀라 350g	시리얼·그래놀라	P2	7개 상품 공용 이미지이며 카카오 닙스가 전혀 보이지 않음	짙은 카카오 닙스와 롤드오트 초콜릿 클러스터	Deep cocoa-toned high-protein rolled-oat granola in a low warm-gray ceramic bowl, abundant visible cacao nibs and dark oat clusters, a few raw cacao beans at the edge, elegant restrained chocolate palette. Premium wellness cereal commercial photography, soft bright natural window light, ivory and warm beige set, crisp realistic texture, centered three-quarter square composition with safe margins.	plain golden granola, berries, cinnamon, black sesame, soybeans, konjac, soy balls, sweet potato, apple, neon chocolate, dark underexposed image, factory, bulk tub, metal scoop, text, logo, watermark, people, hands, clutter, cropped bowl, blur, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
33	저당 베리베리 프로틴 시리얼 300g	시리얼·그래놀라	P2	40번과 동일한 일반 시리얼 사진이며 베리류가 보이지 않음	프로틴 퍼프와 동결건조 딸기·블루베리	Pale crisp protein cereal puffs in a white ceramic breakfast bowl with clearly visible freeze-dried strawberry slices, whole blueberries and raspberry crumbs, a small splash of milk and a soft dusty-rose napkin, bright but not saturated. Premium wellness cereal commercial photography, clean natural light, ivory and warm beige setting, appetizing crisp texture, centered square crop-safe composition.	green apple, chia seeds, plain granola, no berries, rainbow cereal, oversaturated red or blue, dark, factory, bulk bin, metal scoop, text, logo, watermark, people, hands, clutter, cropped bowl, blur, low resolution, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
34	유기농 통귀리 오토그래놀라 시나몬 400g	시리얼·그래놀라	P2	7개 상품 공용 그래놀라 이미지로 통귀리·시나몬 제품의 고유성이 없음	통귀리 플레이크·피칸·시나몬의 따뜻한 볼	Large whole rolled oats and rustic granola clusters in a sand-colored ceramic bowl, visible pecan halves, a single cinnamon stick and a very light cinnamon dusting, warm aromatic breakfast mood distinct from other granolas. Premium wellness cereal commercial photography, soft bright natural window light, ivory and warm beige palette, crisp realistic texture, centered square crop-safe composition.	cacao nibs, berries, black sesame, black soybeans, konjac flakes, soy balls, sweet potato, green apple, chia seeds, dark, oversaturated, factory, bulk container, metal scoop, text, logo, watermark, people, hands, clutter, cropped bowl, blur, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
35	하이프로틴 흑임자 서리태 그래놀라 350g	시리얼·그래놀라	P2	7개 상품 공용 이미지이며 흑임자와 서리태가 보이지 않음	흑임자 클러스터와 검은 서리태의 명확한 대비	Charcoal-speckled black-sesame granola clusters in a pale celadon ceramic bowl, glossy roasted black soybeans clearly mixed throughout, a small scattering of black sesame on the beige surface, strong ingredient distinction with restrained dark accents. Premium wellness cereal commercial photography, bright soft natural light, ivory warm-beige and muted-green palette, crisp appetizing texture, centered crop-safe square frame.	plain golden granola, cacao nibs, berries, cinnamon, konjac, large soy protein balls, sweet potato, green apple, oversaturated, underexposed black food, factory, bulk bin, metal scoop, text, logo, watermark, people, hands, clutter, cropped bowl, blur, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
36	글루텐프리 퀴노아 라이스 크런치 280g	시리얼·그래놀라	P1	원본이 120×90으로 카드에서 심하게 확대되어 흐리고 상품도 부스러기처럼 보임	고해상도 퀴노아·라이스 퍼프 크런치	A shallow ivory ceramic bowl filled with distinct pale-gold puffed rice and tiny quinoa crisps, clean round airy shapes and crunchy porous texture in sharp high resolution, a few pieces scattered neatly on a warm beige surface. Premium wellness cereal commercial photography, soft bright natural window light, minimal muted-green accent, centered crop-safe square composition.	blurry, pixelated, low resolution, crumbs only, sugary glaze, colorful cereal, dark, oversaturated, factory, bulk bin, bucket, metal scoop, text, logo, watermark, people, hands, clutter, cropped bowl, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
37	식단관리 저칼로리 곤약 그래놀라 300g	시리얼·그래놀라	P2	7개 상품 공용 이미지이며 곤약 플레이크가 구분되지 않음	가벼운 곤약 크리스프와 성긴 귀리 클러스터	A light low-calorie granola composition in a slim ivory bowl, visible thin pale konjac crisps mixed with sparse golden oat clusters and a few pumpkin seeds, airy generous spacing and a fresh restrained look. Premium wellness cereal commercial photography, bright diffused natural light, warm beige table and soft sage linen, realistic crunchy texture, centered square crop-safe image.	dense heavy granola, cacao, berries, cinnamon, black sesame, black soybeans, large soy balls, sweet potato, green apple, dark, oversaturated, factory, bulk bin, metal scoop, text, logo, watermark, people, hands, clutter, cropped bowl, blur, low resolution, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
38	프로틴 맥스 소이볼 그래놀라 400g	시리얼·그래놀라	P2	7개 상품 공용 이미지이며 핵심 소이볼이 보이지 않음	둥근 소이 프로틴 볼이 풍성한 그래놀라	A warm-beige ceramic bowl of high-protein granola dominated by clearly visible round soy protein balls, mixed with toasted oat clusters and almond slivers, several soy balls arranged at the front to emphasize shape and crunch. Premium wellness cereal commercial photography, soft bright natural light, ivory backdrop and subtle sage accent, centered three-quarter square composition with safe margins.	plain granola, cacao nibs, berries, cinnamon, black sesame, black soybeans, konjac flakes, sweet potato, green apple, dark, oversaturated, factory, bulk container, metal scoop, text, logo, watermark, people, hands, clutter, cropped bowl, blur, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
39	고구마 말랭이 듬뿍 옐로우 그래놀라 350g	시리얼·그래놀라	P2	7개 상품 공용 이미지이며 고구마 조각과 옐로우 톤이 없음	노란 고구마 말랭이 큐브와 골든 그래놀라	Golden oat granola in a pale mustard-beige ceramic bowl, plentiful yellow-orange dried sweet-potato cubes clearly visible among crisp clusters, a few curved sweet-potato strips at the edge, warm sunny but restrained palette. Premium wellness cereal commercial photography, bright soft window light, ivory background, realistic crunchy texture, centered crop-safe square image.	plain granola, cacao, berries, cinnamon, black sesame, soybeans, konjac, green apple, neon yellow, oversaturated orange, dark, factory, bulk bin, metal scoop, text, logo, watermark, people, hands, clutter, cropped bowl, blur, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
40	그린 애플 & 치아씨드 로우 그래놀라 320g	시리얼·그래놀라	P2	33번과 동일한 일반 시리얼 사진이며 그린애플과 치아씨드가 보이지 않음	그린애플 칩과 치아씨드의 세이지 볼	Raw granola in a muted-sage ceramic bowl with clearly visible thin green-apple chips, small chia seeds coating several oat clusters and a few fresh pale-green apple slices, cool fresh ingredient identity distinct from berry cereal. Premium wellness cereal commercial photography, soft bright natural light, ivory and warm beige set, appetizing crisp texture, centered square crop-safe composition.	berries, pink cereal, plain granola, cacao, cinnamon, black sesame, black soybeans, konjac, soy balls, sweet potato, neon green, dark, factory, bulk bin, metal scoop, text, logo, watermark, people, hands, clutter, cropped bowl, blur, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
42	무첨가 순수 아몬드 밀크 언스위트 190ml x 10팩	유제품·대체유	P2	46번 검은콩 두유와 동일한 흰 우유 사진이며 아몬드·10팩 상품성이 없음	투명 잔과 10개 미니팩의 순백 아몬드 밀크	A clear glass of smooth unsweetened almond milk as the hero, with ten small minimalist unbranded ivory drink cartons arranged softly out of focus behind it, a few whole almonds and one almond half nearby, bright clean presentation. Premium wellness beverage commercial photography, soft natural window light, ivory and warm beige palette with subtle muted green, centered square crop-safe composition, absolutely no package writing.	cow's milk pitcher, black soybeans, dark beverage, vintage plate, text, letters, numbers, logo, watermark, fake Korean packaging copy, factory, warehouse, bulk container, people, hands, medical scene, clutter, cropped glass or cartons, blur, low resolution, CGI	1:1 square; ProductCard uses object-fit: cover; keep the glass and the carton group within the central 80% safe area for 5% hover zoom
45	산양유 100% 무첨가 요거트 드링크 150ml	유제품·대체유	P2	50번 케피어와 동일한 일반 발효유 잔 사진으로 산양유 제품 고유성이 없음	작은 병의 진하고 매끈한 산양유 요거트	A small 150 ml clear glass bottle filled with thick smooth ivory goat-milk yogurt drink, one petite tasting glass beside it, subtle creamy swirl and a folded sage napkin, no large kefir bottle and no cartons. Premium wellness dairy commercial photography, soft bright natural window light, warm beige tabletop, clean fresh styling, centered square crop-safe composition, unbranded bottle with no text.	large 500 ml bottle, kefir grains, almond milk cartons, black soy milk, vintage dish, plain white liquid only, dark, oversaturated, factory, text, logo, watermark, fake Korean packaging copy, people, hands, medical scene, clutter, cropped bottle, blur, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete bottle and glass within the central 80% safe area for 5% hover zoom
46	국산 서리태 검은콩 두유 무가당 190ml x 16팩	유제품·대체유	P2	42번과 동일한 흰 우유 사진으로 검은콩 두유의 색과 16팩 구성이 명백히 다름	연회갈색 검은콩 두유와 서리태·미니팩 묶음	A clear glass containing naturally light taupe Korean black-soy milk, with sixteen small unbranded ivory cartons grouped neatly behind it using a subtle charcoal accent band without any writing, several roasted black soybeans in a tiny ceramic dish. Premium wellness beverage commercial photography, bright soft natural light, ivory and warm beige set, centered square crop-safe composition.	pure white cow's milk, almonds, almond cartons, neon colors, text, letters, numbers, logo, watermark, fake Korean package copy, factory, warehouse, bulk bin, vintage dish, people, hands, medical scene, clutter, cropped pack group, blur, low resolution, CGI	1:1 square; ProductCard uses object-fit: cover; keep the glass and pack group within the central 80% safe area for 5% hover zoom
47	코코넛 워터 베이스 무가당 코코넛 밀크 330ml	유제품·대체유	P1	낡은 무늬 접시의 묽은 흰 액체 탑뷰라 음료 상품으로 보이지 않고 구매 매력이 낮음	투명 병과 얼음잔의 가벼운 코코넛 밀크	A minimalist unbranded 330 ml clear bottle and a clean tumbler of lightly translucent coconut-water-based coconut milk with two ice cubes, a small fresh coconut wedge and soft condensation, modern beverage styling rather than a bowl of white liquid. Premium wellness drink commercial photography, bright diffused natural window light, ivory and warm beige background, subtle sage accent, centered square crop-safe composition.	old patterned plate, bowl of plain white liquid, opaque heavy cream, dark, oversaturated, tropical clutter, factory, bulk container, text, logo, watermark, fake Korean copy, people, hands, medical scene, cropped bottle, blur, low resolution, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete bottle and glass within the central 80% safe area for 5% hover zoom
50	프로바이오틱스 케피어 발효유 플레인 500ml	유제품·대체유	P2	45번 산양유 드링크와 동일한 잔 사진으로 500ml 케피어 상품성이 없음	큰 케피어 병과 잔의 산뜻한 발효 거품	A tall unbranded 500 ml clear glass bottle of plain kefir beside a short drinking glass, fine natural fermentation bubbles and a slightly frothy rim, a tiny ivory dish of kefir grains as an accent, distinct from a small goat-yogurt bottle. Premium wellness dairy commercial photography, soft bright natural window light, warm beige tabletop and muted-green linen, centered square crop-safe composition, no writing.	small 150 ml bottle, goat imagery, plain milk pour, almonds, black soybeans, vintage plate, dark, oversaturated, factory, text, logo, watermark, fake Korean package copy, people, hands, medical scene, clutter, cropped bottle, blur, low resolution, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete bottle, glass and kefir-grain accent within the central 80% safe area for 5% hover zoom
54	식물성 완두 프로틴 스무디 바나나베리 250ml	음료·프로틴음료	P2	59번 딸기 바닐라 WPI와 동일한 베리 스무디 이미지	바나나와 혼합 베리가 드러나는 진한 보랏빛 식물성 스무디	A thick naturally mauve-purple banana and mixed-berry pea-protein smoothie in a clean unbranded 250 ml clear bottle, with one small tasting glass showing creamy texture, a banana slice, two blueberries and one raspberry arranged sparingly. Make the banana body and mixed-berry color visually clear. Premium wellness beverage commercial photography, bright soft natural window light, ivory and warm beige background with muted-green linen, fresh appetizing styling, centered square crop-safe composition.	pale pink strawberry shake, vanilla pod, whey powder tub, protein powder mound, metal scoop, dark or underexposed image, oversaturated purple, factory, warehouse, bulk container, blog stock photo, text, letters, logo, watermark, fake Korean packaging copy, face, hands, medical or laboratory scene, clutter, cropped bottle, blur, low resolution, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete bottle, glass and fruit accents within the central 80% safe area for 5% hover zoom
55	유기농 콤부차 레몬진저 310ml	음료·프로틴음료	P1	짙고 어두운 타사 병 라벨이 크게 잘려 보이며 레몬·진저나 청량감이 없음	레몬 껍질과 생강을 곁들인 맑고 탄산감 있는 골든 콤부차	A clear unbranded 310 ml glass bottle and slender tumbler filled with light golden organic lemon-ginger kombucha, lively fine bubbles rising through the drink, delicate condensation, a curled lemon peel and two thin fresh ginger slices as restrained accents. Premium wellness beverage commercial photography, bright diffused natural window light, ivory tabletop and warm beige background with a muted sage detail, clean refreshing mood, centered square crop-safe composition.	dark branded bottle, cropped label, brown murky drink, beer styling, excessive foam, oversaturated yellow, factory, warehouse, manufacturing, bulk vessel, text, letters, logo, watermark, fake Korean packaging copy, people, hands, medical scene, clutter, cropped hero bottle or glass, blur, low resolution, CGI	1:1 square; ProductCard uses object-fit: cover; keep the full bottle, tumbler and lemon-ginger cues within the central 80% safe area for 5% hover zoom
57	단호박 팥 데일리 호박즙 100ml x 14포	음료·프로틴음료	P1	썬 호박 원물만 있고 액상 음료와 파우치 구성이 전혀 보이지 않음	14포 묶음과 작은 잔에 담긴 단호박·팥빛 호박즙	Fourteen slim blank ivory stick pouches grouped neatly behind a small clear glass of smooth amber-orange sweet-pumpkin and red-bean juice, with one petite kabocha pumpkin wedge and a spoonful of glossy cooked red beans nearby. The finished drink and multi-pouch product format must be immediately recognizable. Premium wellness drink commercial photography, bright soft natural window light, warm beige surface, muted-green cloth accent, centered square crop-safe composition, no writing on pouches.	raw pumpkin-only still life, pumpkin field, loose powder, industrial juice vat, metal scoop, dark beverage, muddy styling, text, letters, numbers, logo, watermark, fake Korean packaging copy, factory, warehouse, people, hands, medical scene, clutter, cropped pouch group, blur, low resolution, CGI	1:1 square; ProductCard uses object-fit: cover; keep the glass, all-pouch silhouette and ingredient cues within the central 80% safe area for 5% hover zoom
59	프로틴 맥스 25g WPI 딸기 바닐라 250ml	음료·프로틴음료	P2	54번 바나나베리 완두 스무디와 동일한 이미지로 제품 구분이 안 됨	딸기와 바닐라가 선명한 연분홍 WPI 프로틴 셰이크	A smooth pale blush-pink strawberry-vanilla WPI protein shake in a minimalist unbranded 250 ml clear bottle, a short clear glass beside it showing silky consistency, one halved strawberry and a slender vanilla bean as precise flavor cues. Keep the color lighter and creamier than a mixed-berry plant smoothie. Premium wellness beverage commercial photography, bright soft natural window light, ivory and warm beige set with a subtle muted-green accent, centered square crop-safe composition.	dark purple mixed-berry smoothie, banana, pea-protein powder, powder tub, metal scoop, bodybuilder, gym scene, oversaturated pink, text, letters, logo, watermark, fake Korean packaging copy, factory, warehouse, people, hands, medical scene, clutter, cropped bottle, blur, low resolution, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete bottle, glass, strawberry and vanilla within the central 80% safe area for 5% hover zoom
60	에너지 부스터 과라나 샷 60ml	음료·프로틴음료	P1	어두운 통 안의 갈색 과라나 분말과 스푼으로 액상 샷 상품과 명백히 불일치	60ml 앰버 보틀과 미니 잔의 농축 과라나 에너지 샷	A compact unbranded 60 ml amber glass shot bottle as the central hero, with a tiny clear tasting glass containing a rich translucent reddish-brown guarana energy drink, a few guarana berries and one opened seed pod as restrained botanical accents. Make the liquid shot format unmistakable. Premium wellness beverage commercial photography, bright soft natural window light, ivory stone surface and warm beige background with muted green, crisp appetizing highlights, centered square crop-safe composition.	brown powder in a tub, bucket, metal scoop, industrial container, coffee cup, alcohol branding, dark moody bar, factory, warehouse, manufacturing, text, letters, logo, watermark, fake Korean packaging copy, face, hands, medical or laboratory image, clutter, cropped bottle, blur, low resolution, CGI	1:1 square; ProductCard uses object-fit: cover; keep the entire 60 ml bottle, tasting glass and guarana accents within the central 80% safe area for 5% hover zoom
68	볶은 검은콩 서리태 스낵 200g	견과·건과류	P1	검은콩이 화면을 빽빽하게 채워 금속 알갱이처럼 보이고 볶은 스낵의 먹음직스러움이 없음	베이지 볼에 담긴 바삭한 볶은 서리태와 고소한 단면	A small warm-beige ceramic bowl filled with dry-roasted Korean black soybeans, each bean matte and naturally wrinkled rather than metallic, with several beans scattered loosely and one cracked bean revealing its warm tan interior to emphasize crisp texture. Premium wellness snack commercial photography, bright soft natural window light, ivory tabletop and muted-green napkin, clean edible presentation, centered square crop-safe composition.	frame-filling raw bean macro, shiny metal-like pellets, wet beans, black background, burnt food, oversaturated color, factory, warehouse, bulk sack, metal scoop, text, logo, watermark, fake Korean packaging copy, people, hands, medical scene, clutter, cropped bowl, blur, low resolution, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete snack bowl and cracked-bean detail within the central 80% safe area for 5% hover zoom
