product_id	product_name	category	image_url	A_identifiability	B_desirability	C_ad_suitability	D_name_match	E_composition_quality	total	classification	current_image_issue	image_direction	force_replace_reason
18	단백질 듬뿍 오트밀 닭가슴살 영양죽 280g	도시락·간편식	https://upload.wikimedia.org/wikipedia/commons/7/72/Oat_porridge_in_Ghana.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	1	0	1	1	1	4	REPLACE	회갈색 묽은 죽이 밋밋하고 닭가슴살이나 영양 구성이 보이지 않아 구매 욕구가 낮음	밝은 세라믹 볼의 크리미한 오트밀 죽 위에 잘게 찢은 닭가슴살과 파슬리를 정돈한 자연광 완성 음식 사진	unappetizing food
19	지중해식 구운 병아리콩 & 가지 그라탕 220g	도시락·간편식	https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b8/Vegetarian_Moussaka_and_Spinach_%26_Button_Mushrooms_With_Pesto_Dressing_-_Foodilic_2024-08-12.jpg/960px-Vegetarian_Moussaka_and_Spinach_%26_Button_Mushrooms_With_Pesto_Dressing_-_Foodilic_2024-08-12.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1	1	0	1	1	4	REPLACE	여러 반찬이 섞인 식당 자료사진으로 병아리콩·가지 그라탕이 무엇인지 명확하지 않음	아이보리 오븐 접시에 노릇한 가지 그라탕을 담고 병아리콩이 표면과 단면에 보이도록 촬영한 밝은 음식 광고 사진	title mismatch; blog/restaurant style
20	고구마 닭가슴살 소시지 플래터 도시락 270g	도시락·간편식	https://thumb.wikimedia.org/wikipedia/commons/thumb/8/86/Sweet_Potato_Sauteed_With_Honey.jpg/960px-Sweet_Potato_Sauteed_With_Honey.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1	1	1	0	2	5	REPLACE	고구마 조각만 보이고 핵심인 닭가슴살 소시지와 도시락 구성이 없음	밝은 아이보리 플래터에 고구마 큐브와 닭가슴살 소시지 슬라이스를 균형 있게 담은 완성 도시락 사진	title mismatch; raw ingredient
21	제로슈가 크런치 카카오 프로틴바 50g	프로틴바·건강간식	https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c3/Three_protein_bars%2C_two_cut_in_half.jpg/960px-Three_protein_bars%2C_two_cut_in_half.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	2	2	2	2	2	10	KEEP	프로틴바 완성 형태와 단면 질감이 선명함	-	-
22	고소한 피넛버터 오트 프로틴 쿠키 60g	프로틴바·건강간식	https://images.unsplash.com/photo-1499636136210-6f4ee915583e?w=600&auto=format&fit=crop&q=80	2	2	2	2	2	10	KEEP	쿠키의 완성 형태와 질감이 먹음직스럽고 중앙 구도가 좋음	-	-
23	구운 병아리콩 스낵 바베큐맛 40g	프로틴바·건강간식	https://upload.wikimedia.org/wikipedia/commons/4/40/Leblebi.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	2	1	1	2	1	7	REVIEW	병아리콩은 식별되나 평면적인 자료사진이고 바베큐 시즈닝과 제품성이 약함	작은 베이지 볼에 바삭하게 구운 병아리콩을 담고 붉은 바베큐 시즈닝 질감을 강조한 밝은 스낵 광고 사진	-
24	제주 말차 화이트 청크 프로틴바 50g	프로틴바·건강간식	https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4e/White_Matcha_Bar_.jpg/960px-White_Matcha_Bar_.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	2	1	1	2	2	8	KEEP	말차 바와 분말이 명확하지만 타사 포장 자료사진의 인상이 있음	-	-
25	프로틴 현미 곤약 팝칩 치즈맛 35g	프로틴바·건강간식	https://images.unsplash.com/photo-1599490659213-e2b9527bd087?w=600&auto=format&fit=crop&q=80	2	2	2	1	2	9	KEEP	팝칩 형태와 밝은 광고 구도가 적절하나 치즈 맛 단서는 약함	-	-
26	리얼 에스프레소 에너지 카페인 프로틴바 45g	프로틴바·건강간식	https://thumb.wikimedia.org/wikipedia/commons/thumb/5/55/Three_protein_bars.jpg/960px-Three_protein_bars.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	2	2	2	1	2	9	KEEP	프로틴바로는 적합하나 에스프레소 맛 표현은 약함	-	-
27	비건 글루텐프리 블랙빈 브라우니 60g	프로틴바·건강간식	https://thumb.wikimedia.org/wikipedia/commons/thumb/4/48/Chocolate_Brownie_Decorated.jpg/960px-Chocolate_Brownie_Decorated.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	2	2	2	2	2	10	KEEP	브라우니 질감이 선명하고 먹음직스러움	-	-
28	프로틴 베이크드 베이글 칩 허니버터맛 45g	프로틴바·건강간식	https://thumb.wikimedia.org/wikipedia/commons/thumb/0/05/NY-Deli-Bagel-Chips.jpg/960px-NY-Deli-Bagel-Chips.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	2	1	1	2	2	8	KEEP	베이글 칩 식별과 품질은 양호하나 에디토리얼 자료사진 느낌이 조금 남음	-	-
29	제로 알룰로스 단백질 젤리 청포도맛 50g	프로틴바·건강간식	https://images.unsplash.com/photo-1582058091505-f87a2e55a40f?w=600&auto=format&fit=crop&q=80	1	2	2	0	2	7	REPLACE	청포도 단백질 젤리가 아니라 다색 곰돌이 구미로 보여 맛과 상품 유형이 불일치	반투명 청포도색 단백질 젤리를 작은 유리 볼에 담고 청포도 몇 알을 곁들인 밝은 스낵 광고 사진	title mismatch
30	산양유 프로틴 웨이퍼 초코 38g	프로틴바·건강간식	https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2b/Milk_flavored_peanut_wafer_biscuits.jpg/960px-Milk_flavored_peanut_wafer_biscuits.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	2	1	1	1	2	7	REVIEW	웨이퍼는 맞지만 우유·땅콩 웨이퍼 자료사진이라 초코와 산양유 특징이 약함	초콜릿 코팅 산양유 프로틴 웨이퍼를 반으로 잘라 바삭한 층을 보여주고 베이지 배경에 중앙 배치한 사진	-
31	무가당 고단백 수제 그래놀라 오리지널 400g	시리얼·그래놀라	https://upload.wikimedia.org/wikipedia/commons/d/dd/Granola_Honey_and_Vanilla_Top.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	2	2	2	1	2	9	REPLACE	동일 그래놀라 사진이 7개 상품에 반복되어 개별 상품 구분이 불가능함	아이보리 세라믹 볼에 견과와 단백질 크런치가 보이는 오리지널 그래놀라를 담은 밝은 탑뷰 광고 사진	duplicate URL
32	카카오 닙스 고단백 롤드오트 그래놀라 350g	시리얼·그래놀라	https://upload.wikimedia.org/wikipedia/commons/d/dd/Granola_Honey_and_Vanilla_Top.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	2	2	2	0	2	8	REPLACE	7개 상품 공용 이미지이며 카카오 닙스가 전혀 보이지 않음	카카오 닙스와 진한 롤드오트 클러스터가 분명히 보이는 베이지 볼의 밝은 그래놀라 광고 사진	title mismatch; duplicate URL
33	저당 베리베리 프로틴 시리얼 300g	시리얼·그래놀라	https://images.unsplash.com/photo-1521483451569-e33803c0330c?w=600&auto=format&fit=crop&q=80	2	2	2	0	2	8	REPLACE	40번과 동일한 일반 시리얼 사진이며 베리류가 보이지 않음	딸기·블루베리 조각과 프로틴 퍼프가 선명한 아이보리 볼을 밝은 자연광으로 촬영한 사진	title mismatch; duplicate URL
34	유기농 통귀리 오토그래놀라 시나몬 400g	시리얼·그래놀라	https://upload.wikimedia.org/wikipedia/commons/d/dd/Granola_Honey_and_Vanilla_Top.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	2	2	2	1	2	9	REPLACE	7개 상품 공용 그래놀라 이미지로 통귀리·시나몬 제품의 고유성이 없음	통귀리 플레이크와 시나몬 스틱을 절제해 배치한 아이보리 볼의 자연광 그래놀라 사진	duplicate URL
35	하이프로틴 흑임자 서리태 그래놀라 350g	시리얼·그래놀라	https://upload.wikimedia.org/wikipedia/commons/d/dd/Granola_Honey_and_Vanilla_Top.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	2	2	2	0	2	8	REPLACE	7개 상품 공용 이미지이며 흑임자와 서리태가 보이지 않음	검은콩과 흑임자가 섞인 짙은 포인트의 그래놀라를 밝은 베이지 볼에 담아 대비를 살린 사진	title mismatch; duplicate URL
36	글루텐프리 퀴노아 라이스 크런치 280g	시리얼·그래놀라	https://upload.wikimedia.org/wikipedia/commons/3/39/Puffed_Rice_Sugar_Coated.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	1	0	0	1	0	2	REPLACE	원본이 120×90으로 카드에서 심하게 확대되어 흐리고 상품도 부스러기처럼 보임	퀴노아와 라이스 크런치의 둥근 퍼프 질감을 선명하게 보여주는 밝은 고해상도 세라믹 볼 사진	severe low resolution
37	식단관리 저칼로리 곤약 그래놀라 300g	시리얼·그래놀라	https://upload.wikimedia.org/wikipedia/commons/d/dd/Granola_Honey_and_Vanilla_Top.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	2	2	2	0	2	8	REPLACE	7개 상품 공용 이미지이며 곤약 플레이크가 구분되지 않음	가벼운 곤약 플레이크와 귀리 클러스터를 아이보리 볼에 담고 깨끗한 여백을 둔 밝은 사진	title mismatch; duplicate URL
38	프로틴 맥스 소이볼 그래놀라 400g	시리얼·그래놀라	https://upload.wikimedia.org/wikipedia/commons/d/dd/Granola_Honey_and_Vanilla_Top.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	2	2	2	0	2	8	REPLACE	7개 상품 공용 이미지이며 핵심 소이볼이 보이지 않음	동그란 소이 프로틴 볼이 귀리 사이에 풍성하게 보이는 아이보리 볼의 자연광 그래놀라 사진	title mismatch; duplicate URL
39	고구마 말랭이 듬뿍 옐로우 그래놀라 350g	시리얼·그래놀라	https://upload.wikimedia.org/wikipedia/commons/d/dd/Granola_Honey_and_Vanilla_Top.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	2	2	2	0	2	8	REPLACE	7개 상품 공용 이미지이며 고구마 조각과 옐로우 톤이 없음	노란 고구마 말랭이 큐브가 풍성한 그래놀라를 베이지 볼에 담은 밝고 따뜻한 자연광 사진	title mismatch; duplicate URL
40	그린 애플 & 치아씨드 로우 그래놀라 320g	시리얼·그래놀라	https://images.unsplash.com/photo-1521483451569-e33803c0330c?w=600&auto=format&fit=crop&q=80	2	2	2	0	2	8	REPLACE	33번과 동일한 일반 시리얼 사진이며 그린애플과 치아씨드가 보이지 않음	말린 그린애플 조각과 치아씨드가 선명한 로우 그래놀라를 아이보리 볼에 담은 밝은 사진	title mismatch; duplicate URL
41	꾸덕한 무가당 플레인 그릭요거트 450g	유제품·대체유	https://images.unsplash.com/photo-1488477181946-6428a0291777?w=600&auto=format&fit=crop&q=80	2	2	2	1	2	9	KEEP	요거트 완성 형태와 밝은 톤이 적합하나 딸기 토핑 때문에 플레인 인상은 조금 약함	-	-
42	무첨가 순수 아몬드 밀크 언스위트 190ml x 10팩	유제품·대체유	https://images.unsplash.com/photo-1550583724-b2692b85b150?w=600&auto=format&fit=crop&q=80	2	2	2	0	2	8	REPLACE	46번 검은콩 두유와 동일한 흰 우유 사진이며 아몬드·10팩 상품성이 없음	깨끗한 유리잔의 아몬드 밀크와 무지 아이보리 미니팩 여러 개를 아몬드와 함께 정돈한 밝은 사진	duplicate URL
43	식물성 고단백 귀리 오트 음료 바리스타 1L	유제품·대체유	https://thumb.wikimedia.org/wikipedia/commons/thumb/8/82/Oatmilk_1.jpg/960px-Oatmilk_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	2	2	2	2	2	10	KEEP	오트 음료와 귀리가 함께 보여 식별성과 일치도가 높음	-	-
44	락토프리 저지방 프로틴 우유 250ml	유제품·대체유	https://images.unsplash.com/photo-1528750997573-59b89d56f4f7?w=600&auto=format&fit=crop&q=80	2	2	2	1	2	9	KEEP	깨끗한 우유 제품 사진으로 적합하나 프로틴 제품 단서는 약함	-	-
45	산양유 100% 무첨가 요거트 드링크 150ml	유제품·대체유	https://upload.wikimedia.org/wikipedia/commons/8/83/Kefir_in_a_glass.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	2	1	1	1	2	7	REPLACE	50번 케피어와 동일한 일반 발효유 잔 사진으로 산양유 제품 고유성이 없음	작은 투명 병과 잔에 담긴 산양유 요거트 드링크를 아이보리 배경과 자연광으로 촬영한 사진	duplicate URL
46	국산 서리태 검은콩 두유 무가당 190ml x 16팩	유제품·대체유	https://images.unsplash.com/photo-1550583724-b2692b85b150?w=600&auto=format&fit=crop&q=80	1	1	2	0	2	6	REPLACE	42번과 동일한 흰 우유 사진으로 검은콩 두유의 색과 16팩 구성이 명백히 다름	연한 베이지빛 검은콩 두유를 깨끗한 잔에 담고 서리태와 미니팩을 함께 중앙 배치한 사진	title mismatch; duplicate URL
47	코코넛 워터 베이스 무가당 코코넛 밀크 330ml	유제품·대체유	https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0f/Coconut_Milk.JPG/960px-Coconut_Milk.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1	0	0	1	1	3	REPLACE	낡은 무늬 접시의 묽은 흰 액체 탑뷰라 음료 상품으로 보이지 않고 구매 매력이 낮음	투명한 330ml 병과 얼음잔의 코코넛 밀크를 코코넛 조각과 함께 깨끗한 베이지 식탁에 둔 사진	unappetizing composition
48	저칼로리 코티지 치즈 200g	유제품·대체유	https://thumb.wikimedia.org/wikipedia/commons/thumb/1/13/CottageCheeseGermany.jpg/960px-CottageCheeseGermany.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	2	1	1	2	2	8	KEEP	코티지 치즈 질감과 식별성이 명확하나 자료사진 느낌은 있음	-	-
49	유기농 골든 플랙씨드 아마씨유 250ml	유제품·대체유	https://images.unsplash.com/photo-1652282556241-0ce13285d00f?w=600&auto=format&fit=crop&q=80	1	1	1	1	2	6	REVIEW	금빛 오일 방울만 보여 아마씨유 병과 원료를 구분하기 어려움	미니멀한 유리병의 금빛 아마씨유와 작은 아마씨 볼을 아이보리 식탁 위에 중앙 배치한 밝은 사진	-
50	프로바이오틱스 케피어 발효유 플레인 500ml	유제품·대체유	https://upload.wikimedia.org/wikipedia/commons/8/83/Kefir_in_a_glass.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	2	1	1	1	2	7	REPLACE	45번 산양유 드링크와 동일한 잔 사진으로 500ml 케피어 상품성이 없음	500ml 유리병과 작은 잔의 플레인 케피어를 아이보리 배경에 두고 깨끗한 발효유 질감을 보여주는 사진	duplicate URL
51	프로틴 맥스 25g WPI 더블초코 250ml	음료·프로틴음료	https://thumb.wikimedia.org/wikipedia/commons/thumb/2/23/Chocolate_milk.JPG/960px-Chocolate_milk.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	2	2	2	1	2	9	KEEP	초코 음료가 선명하고 먹음직스럽지만 프로틴 제품 표식은 없음	-	-
52	콜드브루 프로틴 라떼 에너지 부스트 275ml	음료·프로틴음료	https://images.unsplash.com/photo-1517701550927-30cf4ba1dba5?w=600&auto=format&fit=crop&q=80	2	2	2	2	2	10	KEEP	아이스 콜드브루 라떼의 질감과 광고 구도가 매우 적합함	-	-
53	스파클링 BCAA 아미노 에이드 자몽맛 355ml	음료·프로틴음료	https://thumb.wikimedia.org/wikipedia/commons/thumb/d/da/Grapefruit_Juice_%282953129458%29.jpg/960px-Grapefruit_Juice_%282953129458%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	2	2	2	1	2	9	KEEP	자몽 음료는 명확하나 스파클링과 BCAA 제품 단서는 약함	-	-
54	식물성 완두 프로틴 스무디 바나나베리 250ml	음료·프로틴음료	https://images.unsplash.com/photo-1553530666-ba11a7da3888?w=600&auto=format&fit=crop&q=80	2	2	2	1	2	9	REPLACE	59번 딸기 바닐라 WPI와 동일한 베리 스무디 이미지	바나나와 베리가 은은히 보이는 부드러운 식물성 프로틴 스무디를 깨끗한 유리병과 잔에 담은 밝은 사진	duplicate URL
55	유기농 콤부차 레몬진저 310ml	음료·프로틴음료	https://upload.wikimedia.org/wikipedia/commons/2/21/Kombucha_cordial.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	1	0	0	1	1	3	REPLACE	짙고 어두운 타사 병 라벨이 크게 잘려 보이며 레몬·진저나 청량감이 없음	투명 병과 깨끗한 잔에 옅은 금빛 콤부차를 담고 레몬 슬라이스와 생강을 절제해 둔 자연광 사진	dark/cropped image
56	L-카르니틴 버닝 워터 그린애플 500ml	음료·프로틴음료	https://thumb.wikimedia.org/wikipedia/commons/thumb/d/df/Apple_juice_3.jpg/960px-Apple_juice_3.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1	1	1	1	2	6	REVIEW	일반 사과주스 한 잔으로 보여 500ml 기능성 워터와 청량감이 전달되지 않음	투명 500ml 병과 얼음잔의 연한 그린애플 워터를 사과 조각과 함께 베이지 식탁에 둔 밝은 사진	-
57	단호박 팥 데일리 호박즙 100ml x 14포	음료·프로틴음료	https://thumb.wikimedia.org/wikipedia/commons/thumb/2/26/Sliced_pumpkin.jpg/960px-Sliced_pumpkin.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	0	1	0	0	2	3	REPLACE	썬 호박 원물만 있고 액상 음료와 파우치 구성이 전혀 보이지 않음	아이보리 트레이에 호박즙 파우치와 작은 유리잔을 놓고 단호박·팥을 주변에 절제해 배치한 밝은 사진	title mismatch; raw ingredient
58	타트체리 멜라토닌 나이트 드링크 100ml	음료·프로틴음료	https://upload.wikimedia.org/wikipedia/commons/0/01/Cherry_juice.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	2	1	1	2	1	7	REVIEW	타트체리 음료는 맞지만 367×567 원본의 오래된 자료사진 느낌과 무거운 색감이 있음	작은 투명 병과 100ml 잔의 짙은 체리 드링크를 타트체리와 함께 차분한 베이지 자연광으로 촬영한 사진	-
59	프로틴 맥스 25g WPI 딸기 바닐라 250ml	음료·프로틴음료	https://images.unsplash.com/photo-1553530666-ba11a7da3888?w=600&auto=format&fit=crop&q=80	2	2	2	1	2	9	REPLACE	54번 바나나베리 완두 스무디와 동일한 이미지로 제품 구분이 안 됨	딸기와 바닐라빈을 은은히 배치하고 연분홍 WPI 음료를 깨끗한 병과 잔에 담은 밝은 사진	duplicate URL
60	에너지 부스터 과라나 샷 60ml	음료·프로틴음료	https://thumb.wikimedia.org/wikipedia/commons/thumb/b/ba/Guarana.jpg/960px-Guarana.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	0	0	0	0	1	1	REPLACE	어두운 통 안의 갈색 과라나 분말과 스푼으로 액상 샷 상품과 명백히 불일치	작은 60ml 유리 샷병과 잔에 앰버 컬러 에너지 드링크를 담고 과라나 열매를 절제해 둔 밝은 사진	title mismatch; raw powder
61	프리미엄 원데이 순수 견과 데일리팩 25g x 14포	견과·건과류	https://thumb.wikimedia.org/wikipedia/commons/thumb/7/77/Mixed_Nuts_%28Alabama_Extension%29.jpg/960px-Mixed_Nuts_%28Alabama_Extension%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	2	2	1	1	2	8	KEEP	혼합 견과는 선명하나 데일리 파우치 패키지 표현이 없음	-	-
62	저온 로스팅 무염 캐슈넛 300g	견과·건과류	https://images.unsplash.com/photo-1686721635333-d71af2f1084b?w=600&auto=format&fit=crop&q=80	2	1	1	2	2	8	KEEP	캐슈넛 식별과 밝기는 양호하나 광고 연출은 다소 단순함	-	-
63	껍질째 먹는 캘리포니아 구운 아몬드 450g	견과·건과류	https://images.unsplash.com/photo-1508061253366-f7da158b6d46?w=600&auto=format&fit=crop&q=80	2	2	2	2	2	10	KEEP	구운 아몬드의 질감과 상품 일치도가 높음	-	-
